Rank,Account name,Owner,Followers,Activity
1,@BarackObama,Barack Obama,120,Former U.S. president
2,@justinbieber,Justin Bieber,112,Musician
3,@katyperry,Katy Perry,108,Musician
4,@rihanna,Rihanna,97,Musician and businesswoman
5,@taylorswift13,Taylor Swift,87,Musician
6,@Cristiano,Cristiano Ronaldo,86,Footballer
7,@realDonaldTrump,Donald Trump,83,Current U.S. president
8,@ladygaga,Lady Gaga,82,Musician
9,@TheEllenShow,Ellen DeGeneres,80,Comedian and television personality
10,@ArianaGrande,Ariana Grande,75,Musician and actress